"","HHID_unique","hh_size","tikina","province","sector","area","EA","class","date.interview","start.interview","end.interview","second.interview","reason.second","start.second","end.second","final.outcome","religion","language","any.child.dead","number.child.dead","tv","radio","refrigerator","telephone","bicycle","motorbike","car","truck","tractor","computer","internet","land","roofing","flooring","walling","overall.condition","other.households","number.households","toilet","water","distance.water","treat.water","how.treat","cooking.fuel","secondary.cooking","type.secondary","type.stove","where.cook","with.electricity","hrs.electricity","reliable.electricity","season.food","season.water","season.economic","place_in_HH","sex","relationship","age","age.categories","marital","disability3","disability.categories","ethnicity","ind.language","y.n.religion","ind.religion","seeing","hearing","walking","remembering","self.care","communicating","food.resources","resources.often","food.sleep","sleep.often","food.wholeday","wholeday.often","food.year","water.quantity","number.people","sleep.outdoors","nights.outdoors","illness.injury","affect.work","length.affect","time.exposure","health.exposure","rate.exposure","receive.care","not.seek","provider","skill","clean","available","respect","wait","location","hcprobs","given.birth","number.births","currently.preg","month.preg","prenatal.preg","provider.prenatal","prenatal.visits","planned.visits","reason.prenatal","where.prenatal","postnatal","care.postnatal","provider.postnatal","freq.postnatal","reason.postnatal","attend.postnatal","birth.postnatal","where.postnatal","attend.school","years.schooling","highest.schooling","read","read.english","check.read.english","read.fijian","check.read.other","write","write.english","check.write","write.other","check.write.other","arithmetic","check.add","check.multiply","toilet.facilities","second.toilet","type.second","support.amount","protect.amount","present.amount","ask","hit","beaten","force","amount","insult","future","access.contraception","methods","barriers","rubbish","sewage","pollution","stagnant","waste","traffic","noise","other","raise.issues","change","control.amount","typical","a.i.time","j.s.time","j.s.second","work.pay","kind.work","injury.work","effect.injury","harm.work","respect.paid","treated.respect","unpaid.work","kind.unpaid.work","injury.unpaid","effect.injury.unpaid","harm.unpaid","respect.unpaid","treated.unpaid","happy","satisfied","poor","how.poor","time.exposure.mins","a.i.time.mins","j.s.time.mins","j.s.second.mins","housing_roof","housing_floor","housing_wall","eprobs","score1.1.1","score1.1","score1","score1_cat","score2.1.1","score2.2.1","score2.3.1","score2.1","score2.2","score2.3","score2","score2_cat","score3.1.1","score3.1.2","score3.2.1","score3.1","score3.2","score3_cat","score4.1.1","score4.1.2","score4.2.1","score4.2","score4","score4_cat","score5.1.1","score5.1.2","score5.1","score5","score5_cat","score6.1.1","score6.1.2","score6.2.1","score6.1","score6.2","score6","score6_cat","score7.1.1","score7.1","score7","score7_cat","score8.1.1","score8.1","score8","score8_cat","score9.1.1","score9.1.2","score9.1","score9","score9_cat","score12.1.1","score12.1","score12","score12_cat","score13.1.1","score13.1.2","score13.1","score13.2.1","score13.2","score13","score13_cat","score14.1.1","score14.1","score14","score14_cat","score15.1.1","score15.1.2","score15.1.3","score15.1","score15.2.1","score15.2.2","score15.2","score15","score15_cat","score4.1","score3"
"2890",1115,6,14,3,0,8,30200080,0,280715,11.1,11.35,0,0,0,0,1,1,2,2,NA,2,1,2,1,2,2,2,2,2,2,2,2,10,2,6,3,2,NA,7,6,NA,2,NA,3,1,5,1,4,1,3,2,3,2,3,4,1,3,22,1,6,0,3,1,1,1,1,1,2,1,1,1,1,2,NA,2,NA,2,NA,2,5,"9",2,NA,2,2,4,0.3,1,3,1,NA,4,2,2,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,5,4,4,1,2,2,2,NA,1,2,2,NA,NA,1,1,1,1,2,2,2,2,4,4,4,1,17,7,NA,1,1,2,NA,3,3,3,1,3,2,NA,3,3,3,3,2,1,3,30,1020,420,NA,0,0,1,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,NA,1,NA,1,3,2,2,2,2.25,2,2,NA,2,2,2,3,1,0,2,0,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,3,3,3,2,2,2.5,2,3,3,3,3,3,3,NA,3,3,NA,3,3,3,2.5,1
"2891",1115,6,14,3,0,8,30200080,0,280715,11.1,11.35,0,0,0,0,1,1,2,2,NA,2,1,2,1,2,2,2,2,2,2,2,2,10,2,6,3,2,NA,7,6,NA,2,NA,3,1,5,1,4,1,3,2,3,2,3,5,2,4,29,2,1,0,4,1,1,1,2,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"9",2,NA,2,2,4,0.45,2,NA,1,NA,4,2,2,2,2,2,2,0,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"12",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,5,5,1,2,2,2,NA,2,2,2,NA,NA,2,2,1,2,2,2,1,2,2,2,2,1,16.3,7.3,0,1,5,2,NA,1,4,4,1,1,2,NA,1,4,4,1,1,1,3,45,990,450,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,NA,1,NA,1,3,3,3,3,3,3,3,NA,3,3,3,3,1,0,2,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,0,0,0.5,0,3,3,3,3,2,3,NA,2.5,3,NA,3,2.75,2,3,1
"2892",1115,6,14,3,0,8,30200080,0,280715,11.1,11.35,0,0,0,0,1,1,2,2,NA,2,1,2,1,2,2,2,2,2,2,2,2,10,2,6,3,2,NA,7,6,NA,2,NA,3,1,5,1,4,1,3,2,3,2,3,6,2,12,80,5,4,0,3,1,1,1,1,2,1,2,2,1,1,2,NA,2,NA,2,NA,2,5,"9",2,NA,4,1,1,0.3,2,NA,1,NA,5,2,2,2,2,2,2,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"7",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,5,5,1,2,2,2,NA,1,2,NA,NA,NA,2,2,1,1,2,2,1,2,2,2,4,1,21.3,2.3,0,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,1,4,4,1,1,1,3,30,1290,150,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,NA,1,NA,1,3,3,3,3,3,3,2,NA,2,2,2,3,1,0,2,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,1.5,1,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,3,1
"2893",1116,6,10,11,0,1,110300010,0,300715,19,20.4,0,0,0,0,1,4,2,2,NA,1,1,1,1,1,2,1,2,2,2,2,1,10,7,6,2,2,NA,4,7,NA,2,NA,1,2,NA,1,3,1,24,4,2,2,2,1,1,1,45,3,1,0,4,1,1,1,4,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,3,"1",2,NA,4,2,4,0,NA,NA,1,NA,1,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"4",5,1,2,NA,1,3,2,NA,NA,NA,NA,1,1,2,4,2,NA,3,3,3,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,2,1,2,1,2,2,4,4,5,1,15,9,NA,1,3,2,NA,3,4,4,1,3,2,NA,3,3,3,2,2,1,4,0,900,540,NA,0,0,1,2,3,3,3,3,3,3,1,3,3,1,2.33333333333333,2,1,0,NA,0.5,NA,0,3,3,3,3,3,3,1,1,1,1,1,3,3,0,3,0,1.5,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,NA,3,3,3,3,0.5
"2894",1116,6,10,11,0,1,110300010,0,300715,19,20.4,0,0,0,0,1,4,2,2,NA,1,1,1,1,1,2,1,2,2,2,2,1,10,7,6,2,2,NA,4,7,NA,2,NA,1,2,NA,1,3,1,24,4,2,2,2,2,2,2,44,3,1,0,4,1,1,1,4,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,3,"1",2,NA,3,1,3,1,1,3,1,NA,5,2,2,2,2,2,2,0,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"10",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,3,4,4,1,2,2,2,NA,2,2,2,NA,NA,2,2,2,2,2,1,1,2,3,3,4,1,9,15,NA,1,5,2,NA,3,4,4,1,1,2,NA,3,3,3,2,2,2,NA,60,540,900,NA,0,0,1,2,3,3,3,3,3,3,1,3,3,1,2.33333333333333,2,1,0,NA,0.5,NA,0,2,2,3,3,2.5,2,3,NA,3,3,3,3,3,0,3,0,1.5,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,3,NA,2.5,3,NA,3,2.75,2,2,0.5
"2895",1116,6,10,11,0,1,110300010,0,300715,19,20.4,0,0,0,0,1,4,2,2,NA,1,1,1,1,1,2,1,2,2,2,2,1,10,7,6,2,2,NA,4,7,NA,2,NA,1,2,NA,1,3,1,24,4,2,2,2,3,2,3,19,1,1,0,4,1,1,1,4,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,2,"1",2,NA,1,1,3,2,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,0,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"10",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,3,3,1,1,2,2,2,NA,2,2,2,NA,NA,2,1,1,1,1,2,1,1,1,1,4,1,12.3,11.3,15,1,5,2,NA,3,3,3,1,1,2,NA,4,3,3,2,2,1,4,120,750,690,900,0,0,1,6,3,3,3,3,3,3,0,3,3,0,2,2,1,0,NA,0.5,NA,0,2,3,0,0,1.25,1,3,NA,3,3,3,3,3,0,3,0,1.5,1,2,2,2,2,1,1,1,1,1,0,0.5,0.5,0,0,0,0,0,0,0,0,2,2,1,1,2,2,2,2,2,3,NA,2.5,3,NA,3,2.75,2,2.5,0.5
"2896",1116,6,10,11,0,1,110300010,0,300715,19,20.4,0,0,0,0,1,4,2,2,NA,1,1,1,1,1,2,1,2,2,2,2,1,10,7,6,2,2,NA,4,7,NA,2,NA,1,2,NA,1,3,1,24,4,2,2,2,4,2,3,19,1,1,0,4,1,1,1,4,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,2,"1",2,NA,1,1,3,2,2,NA,1,NA,5,2,2,2,2,1,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"11",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,4,4,3,1,2,2,2,NA,1,2,2,NA,NA,2,1,1,1,1,2,1,1,1,1,4,1,20,4,NA,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,3,3,3,2,2,1,2,120,1200,240,NA,0,0,1,6,3,3,3,3,3,3,0,3,3,0,2,2,1,0,NA,0.5,NA,0,2,3,2,2,2.25,2,3,NA,3,3,3,3,3,0,3,0,1.5,1,2,2,2,2,2,2,2,2,2,1,1.5,1.5,1,0,0,0,0,0,0,0,2,2,1,1,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,2.5,0.5
"2897",1116,6,10,11,0,1,110300010,0,300715,19,20.4,0,0,0,0,1,4,2,2,NA,1,1,1,1,1,2,1,2,2,2,2,1,10,7,6,2,2,NA,4,7,NA,2,NA,1,2,NA,1,3,1,24,4,2,2,2,5,1,4,27,2,1,0,4,1,1,1,3,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,3,"1",2,NA,3,2,4,0.3,1,2,1,NA,5,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"12",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,1,4,3,1,1,2,1,2,1,2,2,NA,NA,2,1,1,2,2,1,2,1,3,3,5,1,15.3,8.3,0,1,7,2,NA,3,4,4,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,30,930,510,0,0,0,1,4,3,3,3,3,3,3,1,3,3,1,2.33333333333333,2,1,0,NA,0.5,NA,0,3,1,3,3,2.5,2,3,NA,3,3,3,3,3,0,3,0,1.5,1,2,2,2,2,0,0,0,0,2,1,1.5,1.5,1,1,1,1,1,2,2,2,3,3,2.5,2,3,3,3,3,3,3,NA,3,3,NA,3,3,3,2,0.5
"2898",1116,6,10,11,0,1,110300010,0,300715,19,20.4,0,0,0,0,1,4,2,2,NA,1,1,1,1,1,2,1,2,2,2,2,1,10,7,6,2,2,NA,4,7,NA,2,NA,1,2,NA,1,3,1,24,4,2,2,2,6,1,4,25,1,1,1,3,1,1,2,NA,4,1,1,1,1,1,1,2,2,NA,2,NA,2,3,"1",2,NA,4,1,3,0,NA,NA,1,NA,1,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"11",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,3,3,2,1,1,2,2,2,1,2,2,NA,NA,2,2,2,2,2,1,2,2,3,3,5,1,12.3,11.3,0,1,5,2,NA,2,3,3,1,3,2,NA,3,3,3,2,3,1,2,0,750,690,0,0,0,1,1,1,1,1,1,3,3,1,3,3,1,2.33333333333333,2,1,0,NA,0.5,NA,0,3,3,3,3,3,3,3,NA,3,3,3,3,3,0,3,0,1.5,1,2,2,2,2,1,1,1,1,1,0,0.5,0.5,0,2,2,2,2,2,2,2,3,3,2.5,2,2,2,2,2,2,3,NA,2.5,3,NA,3,2.75,2,3,0.5
"2899",1117,7,10,11,0,8,110300080,0,40815,16.3,16.55,0,0,0,0,1,7,3,2,NA,1,1,1,1,2,2,2,2,2,2,2,1,10,8,6,4,1,1,7,7,NA,2,NA,6,1,3,4,2,1,24,4,2,2,2,1,2,1,54,4,1,0,4,2,2,1,7,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"1",2,NA,4,2,4,2,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"11",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,4,5,5,1,2,2,2,NA,2,2,NA,NA,NA,2,2,2,2,2,2,2,2,4,4,5,1,14,10,NA,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,1,3,3,1,1,2,NA,120,840,600,NA,0,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,1,3,NA,2,NA,2,3,1,0,0,1,1,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,0,NA,NA,0,3,NA,3,1.5,1,2,2
"2900",1117,7,10,11,0,8,110300080,0,40815,16.3,16.55,0,0,0,0,1,7,3,2,NA,1,1,1,1,2,2,2,2,2,2,2,1,10,8,6,4,1,1,7,7,NA,2,NA,6,1,3,4,2,1,24,4,2,2,2,2,1,2,58,4,1,0,3,2,2,1,7,1,1,2,1,1,1,2,NA,2,NA,2,NA,2,5,"1",2,NA,1,1,2,0,NA,NA,1,NA,5,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,4,5,5,1,2,2,2,NA,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,4,3,23,1,NA,2,NA,NA,NA,NA,NA,NA,1,5,2,NA,1,4,4,1,1,2,NA,0,1380,60,NA,0,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,1,3,NA,2,NA,2,1,3,3,3,2.5,2,2,NA,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,1,1,1,2,2,1.5,1,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,2,2
"2901",1117,7,10,11,0,8,110300080,0,40815,16.3,16.55,0,0,0,0,1,7,3,2,NA,1,1,1,1,2,2,2,2,2,2,2,1,10,8,6,4,1,1,7,7,NA,2,NA,6,1,3,4,2,1,24,4,2,2,2,3,1,3,35,2,2,0,4,2,2,1,7,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"2",2,NA,4,2,4,0,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,3,5,5,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,2,2,2,2,2,2,2,NA,5,1,12.3,11.3,0,1,1,2,NA,1,4,4,1,5,2,NA,1,4,4,2,2,2,NA,0,750,690,0,0,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,1,3,NA,2,NA,2,3,3,0,0,1.5,1,2,NA,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,3,3,3,3,3,3,1,NA,1,3,3,2,2,2,2,2,2,3,3,NA,3,3,NA,3,3,3,3,2
"2902",1117,7,10,11,0,8,110300080,0,40815,16.3,16.55,0,0,0,0,1,7,3,2,NA,1,1,1,1,2,2,2,2,2,2,2,1,10,8,6,4,1,1,7,7,NA,2,NA,6,1,3,4,2,1,24,4,2,2,2,4,1,3,33,2,1,0,4,2,2,1,7,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"1",2,NA,4,1,3,0,NA,NA,1,NA,5,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"8",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7,4,5,5,1,2,2,2,NA,2,2,2,NA,NA,2,2,2,2,2,2,2,2,3,3,4,1,15,9,NA,1,14,2,NA,1,4,4,1,5,2,NA,1,4,4,2,2,2,NA,0,900,540,NA,0,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,1,3,NA,2,NA,2,3,3,3,3,3,3,2,NA,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,NA,3,3,NA,3,3,3,3,2
"2903",1117,7,10,11,0,8,110300080,0,40815,16.3,16.55,0,0,0,0,1,7,3,2,NA,1,1,1,1,2,2,2,2,2,2,2,1,10,8,6,4,1,1,7,7,NA,2,NA,6,1,3,4,2,1,24,4,2,2,2,5,1,3,32,2,1,0,4,2,2,1,7,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"1",2,NA,4,2,4,0,NA,NA,1,NA,5,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"11",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7,4,5,5,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,2,2,2,2,2,2,2,2,4,1,13.3,10.3,0,1,14,2,NA,1,4,4,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,0,810,630,0,0,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,1,3,NA,2,NA,2,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,1,1,1,2,2,1.5,1,2,2,2,2,3,3,NA,3,3,NA,3,3,3,3,2
"2904",1117,7,10,11,0,8,110300080,0,40815,16.3,16.55,0,0,0,0,1,7,3,2,NA,1,1,1,1,2,2,2,2,2,2,2,1,10,8,6,4,1,1,7,7,NA,2,NA,6,1,3,4,2,1,24,4,2,2,2,6,2,4,21,1,1,0,4,1,1,1,9,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,5,"1",2,NA,4,2,4,2,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,7,1,4,1,2,NA,1,1,1,4,3,NA,1,4,1,1,"12",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,4,5,5,1,2,2,2,NA,2,2,1,4,5,2,2,2,2,2,2,2,2,4,4,4,1,17.3,6.3,0,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,1,3,3,2,2,2,NA,120,1050,390,0,0,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,1,3,NA,2,NA,2,3,3,0,0,1.5,1,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2.5,2,3,3,3,3,0,NA,NA,0,3,NA,3,1.5,1,3,2
"2905",1117,7,10,11,0,8,110300080,0,40815,16.3,16.55,0,0,0,0,1,7,3,2,NA,1,1,1,1,2,2,2,2,2,2,2,1,10,8,6,4,1,1,7,7,NA,2,NA,6,1,3,4,2,1,24,4,2,2,2,7,2,4,32,2,1,0,4,2,2,1,7,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,3,"1",2,NA,4,2,4,1,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,0,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"18",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7,4,5,5,1,2,2,2,NA,2,2,2,NA,NA,2,2,2,2,2,2,2,2,4,4,4,1,11,13,NA,1,6,2,NA,1,3,3,1,1,2,NA,1,3,3,1,1,2,NA,60,660,780,NA,0,0,1,0,3,3,3,3,3,3,1,3,3,1,2.33333333333333,2,1,3,NA,2,NA,2,3,1,0,0,1,1,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2.5,2,1,1,1,1,3,3,NA,3,3,NA,3,3,3,2,2
"2906",1118,7,14,3,0,4,30200040,0,50815,8.35,8.5,0,0,0,0,1,2,2,2,NA,2,1,2,2,2,2,2,2,2,2,2,1,10,2,7,3,2,NA,7,7,NA,2,NA,3,1,5,2,2,1,5,2,2,1,3,1,2,1,60,4,4,0,3,1,1,1,1,1,1,2,2,1,2,1,2,2,NA,2,NA,2,3,"2",2,NA,1,1,3,0.1,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,0,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"11",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,3,1,3,1,2,2,2,NA,1,1,NA,NA,NA,1,2,1,2,2,2,2,2,3,3,4,1,16,8,NA,1,5,2,NA,3,3,3,1,1,2,NA,3,3,3,2,2,1,3,10,960,480,NA,0,0,1,2,1,1,1,1,3,3,1,3,3,1,2.33333333333333,2,1,1,NA,1,NA,1,2,1,0,0,0.75,0,3,NA,3,3,3,3,1,0,2,0,1,1,3,3,3,3,1,1,1,1,0,1,0.5,0.5,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,3,NA,2.5,3,NA,3,2.75,2,1.5,1
"2907",1118,7,14,3,0,4,30200040,0,50815,8.35,8.5,0,0,0,0,1,2,2,2,NA,2,1,2,2,2,2,2,2,2,2,2,1,10,2,7,3,2,NA,7,7,NA,2,NA,3,1,5,2,2,1,5,2,2,1,3,2,1,3,23,1,1,0,4,1,1,1,2,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,3,"1",2,NA,4,1,2,0.1,2,NA,1,NA,5,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"11",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,5,2,5,1,2,2,2,NA,1,1,2,NA,NA,2,2,2,2,2,2,2,2,4,4,5,3,17,7,NA,1,1,2,NA,1,3,3,1,3,2,NA,1,3,3,2,2,1,4,10,1020,420,NA,0,0,1,0,3,3,3,3,3,3,1,3,3,1,2.33333333333333,2,1,1,NA,1,NA,1,3,3,3,3,3,3,3,NA,3,3,3,3,1,0,2,0,1,1,3,3,3,3,3,3,3,3,0,3,1.5,1.5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,NA,3,3,3,3,1
"2908",1118,7,14,3,0,4,30200040,0,50815,8.35,8.5,0,0,0,0,1,2,2,2,NA,2,1,2,2,2,2,2,2,2,2,2,1,10,2,7,3,2,NA,7,7,NA,2,NA,3,1,5,2,2,1,5,2,2,1,3,3,1,3,25,1,1,0,3,1,1,1,2,1,1,2,1,1,1,2,NA,2,NA,2,NA,2,4,"2",2,NA,4,1,3,0.1,2,NA,1,NA,5,2,2,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"12",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,5,3,5,1,2,2,2,NA,2,1,2,NA,NA,2,2,2,2,2,2,2,2,3,3,5,3,14,10,NA,1,1,2,NA,1,3,3,1,3,2,NA,1,3,3,2,2,2,NA,10,840,600,NA,0,0,1,0,3,3,3,3,3,3,2,3,3,2,2.66666666666667,2,1,1,NA,1,NA,1,3,3,2,2,2.5,2,3,NA,3,3,3,3,1,0,2,0,1,1,3,3,3,3,3,3,3,3,1,3,2,2,2,3,3,3,3,2,2,2,3,3,2.5,2,2,2,2,2,3,3,NA,3,3,NA,3,3,3,3,1
"2909",1118,7,14,3,0,4,30200040,0,50815,8.35,8.5,0,0,0,0,1,2,2,2,NA,2,1,2,2,2,2,2,2,2,2,2,1,10,2,7,3,2,NA,7,7,NA,2,NA,3,1,5,2,2,1,5,2,2,1,3,4,2,3,30,2,1,0,4,1,1,1,2,1,1,1,1,1,1,2,NA,2,NA,2,NA,2,3,"2",2,NA,1,2,4,0.2,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,0,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"13",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,7,3,1,3,1,2,2,2,NA,2,1,2,NA,NA,2,2,2,2,2,2,2,2,4,4,2,1,12.3,11.3,0,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,3,3,3,2,2,1,3,20,750,690,0,0,0,1,0,3,3,3,3,3,3,1,3,3,1,2.33333333333333,2,1,1,NA,1,NA,1,3,3,0,0,1.5,1,3,NA,3,3,3,3,1,0,2,0,1,1,3,3,3,3,1,1,1,1,0,1,0.5,0.5,0,3,3,3,3,3,3,3,0,0,1.5,1,2,2,2,2,0,NA,NA,0,3,NA,3,1.5,1,3,1
